882	271	663	2017-07-14 12:35:17	2017-07-14 12:35:17
151	42	83	2017-06-06 22:38:01	2017-06-06 22:38:01
883	150	663	2017-07-14 12:35:17	2017-07-14 12:35:17
153	49	84	2017-06-06 22:46:14	2017-06-06 22:46:14
154	52	85	2017-06-06 22:53:34	2017-06-06 22:53:34
884	433	663	2017-07-14 12:35:17	2017-07-14 12:35:17
156	52	86	2017-06-06 23:29:51	2017-06-06 23:29:51
885	1	663	2017-07-14 12:35:17	2017-07-14 12:35:17
158	99	86	2017-06-06 23:29:51	2017-06-06 23:29:51
159	19	86	2017-06-06 23:29:51	2017-06-06 23:29:51
886	119	663	2017-07-14 12:35:17	2017-07-14 12:35:17
161	115	87	2017-06-07 00:02:24	2017-06-07 00:02:24
887	434	666	2017-07-14 22:35:41	2017-07-14 22:35:41
163	253	89	2017-06-07 18:36:51	2017-06-07 18:36:51
165	254	90	2017-06-07 18:44:59	2017-06-07 18:44:59
166	2	90	2017-06-07 18:44:59	2017-06-07 18:44:59
933	451	742	2017-07-20 08:54:47	2017-07-20 08:54:47
889	17	669	2017-07-14 23:51:58	2017-07-14 23:51:58
890	15	673	2017-07-15 00:09:57	2017-07-15 00:09:57
847	305	508	2017-07-04 12:48:06	2017-07-04 12:48:06
891	375	674	2017-07-15 00:14:13	2017-07-15 00:14:13
892	258	675	2017-07-15 00:19:09	2017-07-15 00:19:09
893	47	676	2017-07-15 00:22:34	2017-07-15 00:22:34
824	29	96	2017-06-30 21:20:42	2017-06-30 21:20:42
825	394	96	2017-06-30 21:21:31	2017-06-30 21:21:31
894	179	677	2017-07-15 00:28:11	2017-07-15 00:28:11
895	2	679	2017-07-15 00:36:38	2017-07-15 00:36:38
178	14	99	2017-06-07 22:11:57	2017-06-07 22:11:57
898	68	689	2017-07-15 23:11:33	2017-07-15 23:11:33
897	300	688	2017-07-15 23:07:17	2017-07-15 23:07:17
899	1	691	2017-07-15 23:17:43	2017-07-15 23:17:43
182	115	101	2017-06-07 22:29:22	2017-06-07 22:29:22
900	29	694	2017-07-15 23:30:13	2017-07-15 23:30:13
184	17	102	2017-06-07 22:35:02	2017-06-07 22:35:02
